Passo,Step,Valor do Passo,Duracao (s),Timestamp
1,"[False, True, False, False]",4,0.0029904842376708984,1755297396.384806
0,"[False, False, False, False]",0,1.2643728256225586,1755297396.3818154
2,"[True, False, False, False]",8,5.999432325363159,1755297402.3842382
3,"[True, False, False, True]",9,2.000396728515625,1755297404.384635
4,"[True, False, True, False]",10,2.000826597213745,1755297406.3854616
6,"[False, True, False, False]",4,0.0029265880584716797,1755297408.3881876
5,"[False, False, False, False]",0,1.9987845420837402,1755297408.3851805
7,"[True, False, False, False]",8,6.000004529953003,1755297414.3871772
8,"[True, False, False, True]",9,2.0000269412994385,1755297416.388143
9,"[True, False, True, False]",10,1.9999537467956543,1755297418.3880959
10,"[False, True, False, False]",4,2.0020861625671387,1755297420.389244
11,"[True, False, False, False]",8,6.00016975402832,1755297426.3894138
12,"[True, False, False, True]",9,1.999993085861206,1755297428.3910413
13,"[True, False, True, False]",10,2.000169515609741,1755297430.3895764
14,"[False, True, False, False]",4,1.999704360961914,1755297432.3892808
15,"[True, False, False, False]",8,5.9997217655181885,1755297438.3890026
16,"[True, False, False, True]",9,2.0013115406036377,1755297440.390314
17,"[True, False, True, False]",10,2.000847101211548,1755297442.3911612
18,"[False, False, False, False]",0,2.0008275508880615,1755297444.3919888
19,"[False, True, False, False]",4,0.0029745101928710938,1755297444.3949633
20,"[True, False, False, False]",8,5.998713493347168,1755297450.3946116
21,"[True, False, False, True]",9,2.000331401824951,1755297452.3940082
22,"[True, False, True, False]",10,2.000392436981201,1755297454.3944006
23,"[False, False, False, False]",0,2.000092029571533,1755297456.3944926
24,"[False, True, False, False]",4,0.0029904842376708984,1755297456.397483
25,"[True, False, False, False]",8,5.9999518394470215,1755297462.397435
26,"[True, False, False, True]",9,2.000732183456421,1755297464.3981671
27,"[True, False, True, False]",10,1.999671220779419,1755297466.3978384
28,"[False, True, False, False]",4,2.002061367034912,1755297468.3998997
29,"[True, False, False, False]",8,6.000351905822754,1755297474.40117
30,"[True, False, False, True]",9,2.0008456707000732,1755297476.4010973
31,"[True, False, True, False]",10,2.0006041526794434,1755297478.4017015
32,"[False, True, False, False]",4,2.002364158630371,1755297480.4050655
33,"[True, False, False, False]",8,6.000043153762817,1755297486.4041088
34,"[True, False, False, True]",9,2.000049352645874,1755297488.404158
35,"[True, False, True, False]",10,2.0005838871002197,1755297490.404742
36,"[False, True, False, False]",4,2.0003743171691895,1755297492.4051163
37,"[True, False, False, False]",8,6.0005574226379395,1755297498.4056737
38,"[True, False, False, True]",9,1.9994704723358154,1755297500.4051442
39,"[True, False, True, False]",10,2.000706195831299,1755297502.4058504
40,"[False, False, False, False]",0,2.0008976459503174,1755297504.406748
41,"[False, True, False, False]",4,0.0019936561584472656,1755297504.4087417
42,"[True, False, False, False]",8,6.000404357910156,1755297510.409146
43,"[True, False, False, True]",9,2.008774518966675,1755297512.4179206
44,"[True, False, True, False]",10,1.991135597229004,1755297514.4100366
45,"[False, False, False, False]",0,2.0011146068573,1755297516.4110985
46,"[False, True, False, False]",4,0.00391840934753418,1755297516.4140892
47,"[True, False, False, False]",8,5.998714923858643,1755297522.4128041
48,"[True, False, False, True]",9,1.9999377727508545,1755297524.412742
49,"[True, False, True, False]",10,2.0003135204315186,1755297526.4130554
50,"[False, False, False, False]",0,2.0000193119049072,1755297528.4139934
51,"[False, True, False, False]",4,0.002908945083618164,1755297528.4159837
52,"[False, False, False, False]",0,1.784576654434204,1755297530.2005603
53,"[False, False, False, False]",0,30.000648975372314,1755297560.2012093
